v2	V(vbb)	V(vcc)	I(I1)	I(V2)	Ib(Q1)	Ic(Q1)	Ie(Q1)
-3.570000000000009e+00	-6.608543e-01	-3.570000e+00	-1.800000e-05	3.865451e-03	-1.800000e-05	-3.865451e-03	3.883451e-03
-3.560000000000009e+00	-6.608542e-01	-3.560000e+00	-1.800000e-05	3.864968e-03	-1.800000e-05	-3.864968e-03	3.882968e-03
-3.550000000000010e+00	-6.608541e-01	-3.550000e+00	-1.800000e-05	3.864486e-03	-1.800000e-05	-3.864486e-03	3.882486e-03
-3.540000000000010e+00	-6.608540e-01	-3.540000e+00	-1.800000e-05	3.864004e-03	-1.800000e-05	-3.864004e-03	3.882004e-03
-3.530000000000010e+00	-6.608539e-01	-3.530000e+00	-1.800000e-05	3.863521e-03	-1.800000e-05	-3.863521e-03	3.881521e-03
-3.520000000000010e+00	-6.608539e-01	-3.520000e+00	-1.800000e-05	3.863039e-03	-1.800000e-05	-3.863039e-03	3.881039e-03
-3.510000000000010e+00	-6.608537e-01	-3.510000e+00	-1.800000e-05	3.862557e-03	-1.800000e-05	-3.862557e-03	3.880557e-03
-3.500000000000011e+00	-6.608536e-01	-3.500000e+00	-1.800000e-05	3.862074e-03	-1.800000e-05	-3.862074e-03	3.880074e-03
-3.490000000000011e+00	-6.608536e-01	-3.490000e+00	-1.800000e-05	3.861592e-03	-1.800000e-05	-3.861592e-03	3.879592e-03
-3.480000000000011e+00	-6.608534e-01	-3.480000e+00	-1.800000e-05	3.861109e-03	-1.800000e-05	-3.861109e-03	3.879110e-03
-3.470000000000011e+00	-6.608534e-01	-3.470000e+00	-1.800000e-05	3.860627e-03	-1.800000e-05	-3.860627e-03	3.878627e-03
-3.460000000000012e+00	-6.608533e-01	-3.460000e+00	-1.800000e-05	3.860145e-03	-1.800000e-05	-3.860145e-03	3.878145e-03
-3.450000000000012e+00	-6.608531e-01	-3.450000e+00	-1.800000e-05	3.859662e-03	-1.800000e-05	-3.859662e-03	3.877662e-03
-3.440000000000012e+00	-6.608531e-01	-3.440000e+00	-1.800000e-05	3.859180e-03	-1.800000e-05	-3.859180e-03	3.877180e-03
-3.430000000000012e+00	-6.608530e-01	-3.430000e+00	-1.800000e-05	3.858698e-03	-1.800000e-05	-3.858698e-03	3.876698e-03
-3.420000000000012e+00	-6.608528e-01	-3.420000e+00	-1.800000e-05	3.858215e-03	-1.800000e-05	-3.858215e-03	3.876215e-03
-3.410000000000013e+00	-6.608528e-01	-3.410000e+00	-1.800000e-05	3.857733e-03	-1.800000e-05	-3.857733e-03	3.875733e-03
-3.400000000000013e+00	-6.608527e-01	-3.400000e+00	-1.800000e-05	3.857251e-03	-1.800000e-05	-3.857251e-03	3.875251e-03
-3.390000000000013e+00	-6.608526e-01	-3.390000e+00	-1.800000e-05	3.856768e-03	-1.800000e-05	-3.856768e-03	3.874768e-03
-3.380000000000013e+00	-6.608525e-01	-3.380000e+00	-1.800000e-05	3.856286e-03	-1.800000e-05	-3.856286e-03	3.874286e-03
-3.370000000000013e+00	-6.608524e-01	-3.370000e+00	-1.800000e-05	3.855804e-03	-1.800000e-05	-3.855804e-03	3.873804e-03
-3.360000000000014e+00	-6.608523e-01	-3.360000e+00	-1.800000e-05	3.855321e-03	-1.800000e-05	-3.855321e-03	3.873321e-03
-3.350000000000014e+00	-6.608522e-01	-3.350000e+00	-1.800000e-05	3.854839e-03	-1.800000e-05	-3.854839e-03	3.872839e-03
-3.340000000000014e+00	-6.608521e-01	-3.340000e+00	-1.800000e-05	3.854356e-03	-1.800000e-05	-3.854356e-03	3.872357e-03
-3.330000000000014e+00	-6.608520e-01	-3.330000e+00	-1.800000e-05	3.853874e-03	-1.800000e-05	-3.853874e-03	3.871874e-03
-3.320000000000014e+00	-6.608519e-01	-3.320000e+00	-1.800000e-05	3.853392e-03	-1.800000e-05	-3.853392e-03	3.871392e-03
-3.310000000000015e+00	-6.608518e-01	-3.310000e+00	-1.800000e-05	3.852909e-03	-1.800000e-05	-3.852909e-03	3.870910e-03
-3.300000000000015e+00	-6.608517e-01	-3.300000e+00	-1.800000e-05	3.852427e-03	-1.800000e-05	-3.852427e-03	3.870427e-03
-3.290000000000015e+00	-6.608516e-01	-3.290000e+00	-1.800000e-05	3.851945e-03	-1.800000e-05	-3.851945e-03	3.869945e-03
-3.280000000000015e+00	-6.608515e-01	-3.280000e+00	-1.800000e-05	3.851462e-03	-1.800000e-05	-3.851462e-03	3.869462e-03
-3.270000000000016e+00	-6.608514e-01	-3.270000e+00	-1.800000e-05	3.850980e-03	-1.800000e-05	-3.850980e-03	3.868980e-03
-3.260000000000016e+00	-6.608514e-01	-3.260000e+00	-1.800000e-05	3.850498e-03	-1.800000e-05	-3.850498e-03	3.868498e-03
-3.250000000000016e+00	-6.608512e-01	-3.250000e+00	-1.800000e-05	3.850015e-03	-1.800000e-05	-3.850015e-03	3.868015e-03
-3.240000000000016e+00	-6.608511e-01	-3.240000e+00	-1.800000e-05	3.849533e-03	-1.800000e-05	-3.849533e-03	3.867533e-03
-3.230000000000016e+00	-6.608511e-01	-3.230000e+00	-1.800000e-05	3.849051e-03	-1.800000e-05	-3.849051e-03	3.867051e-03
-3.220000000000017e+00	-6.608509e-01	-3.220000e+00	-1.800000e-05	3.848568e-03	-1.800000e-05	-3.848568e-03	3.866568e-03
-3.210000000000017e+00	-6.608508e-01	-3.210000e+00	-1.800000e-05	3.848086e-03	-1.800000e-05	-3.848086e-03	3.866086e-03
-3.200000000000017e+00	-6.608508e-01	-3.200000e+00	-1.800000e-05	3.847603e-03	-1.800000e-05	-3.847603e-03	3.865604e-03
-3.190000000000017e+00	-6.608506e-01	-3.190000e+00	-1.800000e-05	3.847121e-03	-1.800000e-05	-3.847121e-03	3.865121e-03
-3.180000000000017e+00	-6.608506e-01	-3.180000e+00	-1.800000e-05	3.846639e-03	-1.800000e-05	-3.846639e-03	3.864639e-03
-3.170000000000018e+00	-6.608505e-01	-3.170000e+00	-1.800000e-05	3.846156e-03	-1.800000e-05	-3.846156e-03	3.864157e-03
-3.160000000000018e+00	-6.608503e-01	-3.160000e+00	-1.800000e-05	3.845674e-03	-1.800000e-05	-3.845674e-03	3.863674e-03
-3.150000000000018e+00	-6.608503e-01	-3.150000e+00	-1.800000e-05	3.845192e-03	-1.800000e-05	-3.845192e-03	3.863192e-03
-3.140000000000018e+00	-6.608502e-01	-3.140000e+00	-1.800000e-05	3.844709e-03	-1.800000e-05	-3.844709e-03	3.862710e-03
-3.130000000000019e+00	-6.608501e-01	-3.130000e+00	-1.800000e-05	3.844227e-03	-1.800000e-05	-3.844227e-03	3.862227e-03
-3.120000000000019e+00	-6.608500e-01	-3.120000e+00	-1.800000e-05	3.843745e-03	-1.800000e-05	-3.843745e-03	3.861745e-03
-3.110000000000019e+00	-6.608499e-01	-3.110000e+00	-1.800000e-05	3.843262e-03	-1.800000e-05	-3.843262e-03	3.861262e-03
-3.100000000000019e+00	-6.608498e-01	-3.100000e+00	-1.800000e-05	3.842780e-03	-1.800000e-05	-3.842780e-03	3.860780e-03
-3.090000000000019e+00	-6.608497e-01	-3.090000e+00	-1.800000e-05	3.842298e-03	-1.800000e-05	-3.842298e-03	3.860298e-03
-3.080000000000020e+00	-6.608496e-01	-3.080000e+00	-1.800000e-05	3.841815e-03	-1.800000e-05	-3.841815e-03	3.859815e-03
